route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,wheelchair_accessible
C2-0,CR_24_25-HS25H1F6-Samedi-21,35811358-CR_24_25-HS25H1F6-Samedi-21,Le Cardo,0,4124313,C210836,1
C2-0,CR_24_25-HS25H1F6-Samedi-21,35811359-CR_24_25-HS25H1F6-Samedi-21,Le Cardo,0,4124312,C210836,1
C2-0,CR_24_25-HS25H1F6-Samedi-21,35811360-CR_24_25-HS25H1F6-Samedi-21,Le Cardo,0,4124314,C210836,1
C2-0,CR_24_25-HS25H1F6-Samedi-21,35811361-CR_24_25-HS25H1F6-Samedi-21,Le Cardo,0,4124320,C210836,1
C2-0,CR_24_25-HS25H1F6-Samedi-21,35811362-CR_24_25-HS25H1F6-Samedi-21,Le Cardo,0,4124317,C210836,1
C2-0,CR_24_25-HS25H1F6-Samedi-21,35811363-CR_24_25-HS25H1F6-Samedi-21,Le Cardo,0,4124313,C210836,1
C2-0,CR_24_25-HS25H1F6-Samedi-21,35811364-CR_24_25-HS25H1F6-Samedi-21,Le Cardo,0,4124311,C210836,1
C2-0,CR_24_25-HS25H1F6-Samedi-21,35811365-CR_24_25-HS25H1F6-Samedi-21,Le Cardo,0,4124318,C210836,1
C2-0,CR_24_25-HS25H1F6-Samedi-21,35811366-CR_24_25-HS25H1F6-Samedi-21,Le Cardo,0,4124314,C210836,1
C2-0,CR_24_25-HS25H1F6-Samedi-21,35811367-CR_24_25-HS25H1F6-Samedi-21,Le Cardo,0,4124319,C210836,1
C2-0,CR_24_25-HS25H1F6-Samedi-21,35811368-CR_24_25-HS25H1F6-Samedi-21,Le Cardo,0,4124320,C210836,1
C2-0,CR_24_25-HS25H1F6-Samedi-21,35811369-CR_24_25-HS25H1F6-Samedi-21,Le Cardo,0,4124317,C210836,1
C2-0,CR_24_25-HS25H1F6-Samedi-21,35811370-CR_24_25-HS25H1F6-Samedi-21,Le Cardo,0,4124311,C210836,1
C2-0,CR_24_25-HS25H1F6-Samedi-21,35811371-CR_24_25-HS25H1F6-Samedi-21,Le Cardo,0,4124315,C210836,1
C2-0,CR_24_25-HS25H1F6-Samedi-21,35811372-CR_24_25-HS25H1F6-Samedi-21,Gare Sud,1,4124313,C211828,1
C2-0,CR_24_25-HS25H1F6-Samedi-21,35811373-CR_24_25-HS25H1F6-Samedi-21,Gare Sud,1,4124311,C211828,1
C2-0,CR_24_25-HS25H1F6-Samedi-21,35811374-CR_24_25-HS25H1F6-Samedi-21,Gare Sud,1,4124313,C211828,1
C2-0,CR_24_25-HS25H1F6-Samedi-21,35811375-CR_24_25-HS25H1F6-Samedi-21,Gare Sud,1,4124314,C211828,1
C2-0,CR_24_25-HS25H1F6-Samedi-21,35811376-CR_24_25-HS25H1F6-Samedi-21,Gare Sud,1,4124319,C211828,1
C2-0,CR_24_25-HS25H1F6-Samedi-21,35811377-CR_24_25-HS25H1F6-Samedi-21,Gare Sud,1,4124314,C211828,1
C2-0,CR_24_25-HS25H1F6-Samedi-21,35811378-CR_24_25-HS25H1F6-Samedi-21,Gare Sud,1,4124315,C211828,1
C2-0,CR_24_25-HS25H1F6-Samedi-21,35811379-CR_24_25-HS25H1F6-Samedi-21,Gare Sud,1,4124311,C211828,1
C2-0,CR_24_25-HS25H1F6-Samedi-21,35811380-CR_24_25-HS25H1F6-Samedi-21,Gare Sud,1,4124318,C211828,1
